# using minimal fraction of valid points 30.00
# tas [K] from GISS-E2-R model output prepared for CMIP5 historical
# cutting out region lon=    0.000  360.000, lat=  -90.000   90.000
 1850   285.5955       285.8687       286.8286       287.6607       288.4623       289.0042       289.4184       289.3387       288.5929       287.7321       286.4521       285.6915    
 1851   285.6194       285.9036       286.6392       287.7297       288.6372       289.0935       289.4114       289.2201       288.6662       287.6064       286.4568       285.6333    
 1852   285.6503       285.9290       286.6388       287.7016       288.5531       288.9388       289.3582       289.2346       288.6934       287.6404       286.4304       285.7805    
 1853   285.7208       285.9764       286.8051       287.7118       288.4732       289.0030       289.2762       289.2230       288.5510       287.5574       286.4894       285.7169    
 1854   285.5921       285.9896       286.8106       287.6912       288.4446       289.0586       289.3194       289.2952       288.5568       287.5392       286.3751       285.7310    
 1855   285.7610       286.1634       286.7493       287.8399       288.6676       289.0243       289.3770       289.2487       288.6753       287.5729       286.4569       285.6647    
 1856   285.6403       285.8003       286.7353       287.6592       288.4066       288.9278       289.2258       289.1369       288.5544       287.4970       286.2352       285.4620    
 1857   285.1652       285.7794       286.4656       287.3815       288.2450       288.7756       289.0858       289.0212       288.2943       287.2430       286.2148       285.2948    
 1858   285.3414       285.6686       286.5348       287.5263       288.3963       288.8828       289.1143       289.1332       288.4228       287.4624       286.2565       285.5150    
 1859   285.5108       285.9005       286.4867       287.6210       288.5876       289.0457       289.2660       289.2267       288.5471       287.6130       286.3708       285.7603    
 1860   285.4463       285.9928       286.8158       287.6954       288.6040       289.0722       289.3402       289.2308       288.5536       287.4880       286.4672       285.6318    
 1861   285.4466       285.9503       286.4581       287.6151       288.5429       289.0962       289.4343       289.2766       288.6655       287.5903       286.4827       285.7976    
 1862   285.4965       285.9159       286.7422       287.7902       288.6645       289.0870       289.3494       289.1560       288.5926       287.4773       286.4958       285.4690    
 1863   285.4527       285.9579       286.7543       287.8095       288.5520       289.0510       289.3211       289.2137       288.5452       287.5523       286.3837       285.5981    
 1864   285.6315       285.9619       286.7121       287.6816       288.4992       289.0897       289.4343       289.2117       288.5800       287.5016       286.3524       285.6003    
 1865   285.4543       285.9082       286.8057       287.7710       288.6770       289.1115       289.3062       289.2690       288.6562       287.6190       286.5496       285.6906    
 1866   285.6999       286.0667       286.6065       287.5191       288.4609       289.0309       289.3795       289.2863       288.7656       287.7226       286.5559       285.8816    
 1867   285.7427       286.1072       287.0141       287.8460       288.6328       289.2503       289.5497       289.3338       288.7340       287.6162       286.3526       285.7036    
 1868   285.4023       285.7674       286.5226       287.5880       288.3898       288.9083       289.2024       289.2336       288.5996       287.6018       286.4443       285.7012    
 1869   285.5762       285.9587       286.6408       287.8285       288.7026       289.1452       289.4755       289.3090       288.7415       287.7299       286.5555       285.9720    
 1870   285.7057       286.1854       287.0121       287.9587       288.5594       289.2935       289.4611       289.3826       288.7570       287.5454       286.4510       285.7669    
 1871   285.8032       285.9739       286.8258       287.6914       288.5085       289.0338       289.3077       289.1833       288.6502       287.4571       286.3347       285.5691    
 1872   285.2912       285.8389       286.6762       287.6563       288.5318       289.2159       289.4281       289.3833       288.7268       287.6348       286.5024       285.6523    
 1873   285.6508       286.1284       286.8673       287.8904       288.7843       289.1264       289.4124       289.3029       288.7110       287.7029       286.3974       285.7448    
 1874   285.5882       285.9209       286.7990       287.6970       288.6944       289.1909       289.3573       289.3779       288.7237       287.5546       286.4587       285.8890    
 1875   285.6099       286.1191       286.7337       287.7608       288.6459       289.0303       289.4145       289.2663       288.5333       287.6165       286.2515       285.5519    
 1876   285.5400       285.8140       286.5167       287.6693       288.5667       289.0459       289.3382       289.2576       288.6034       287.5854       286.4868       285.7033    
 1877   285.3971       285.9072       286.5595       287.7861       288.6210       289.1791       289.4462       289.3329       288.7862       287.5625       286.5219       285.7879    
 1878   285.6726       285.9387       286.5744       287.6907       288.4618       288.9222       289.1832       289.1887       288.5201       287.4693       286.4467       285.5789    
 1879   285.4938       285.9366       286.6095       287.6516       288.4809       288.9377       289.3401       289.2718       288.6016       287.5399       286.3936       285.6191    
 1880   285.5279       285.8957       286.5667       287.6410       288.4501       289.1082       289.2932       289.2662       288.6803       287.4816       286.4279       285.7161    
 1881   285.4366       285.8507       286.7172       287.5818       288.4689       289.0985       289.3276       289.2081       288.5266       287.5793       286.4561       285.8747    
 1882   285.3738       286.0830       286.6771       287.7776       288.5755       289.0287       289.3657       289.1825       288.6099       287.6448       286.2740       285.7053    
 1883   285.6056       285.9019       286.6639       287.6359       288.4248       288.9918       289.3014       289.2666       288.6614       287.6050       286.3637       285.5022    
 1884   285.3642       285.9055       286.5456       287.3764       288.1717       288.6462       288.9071       288.8023       288.1817       287.1079       285.8964       285.2495    
 1885   285.0359       285.5484       286.3098       287.3411       288.2269       288.7130       289.0290       288.9171       288.2326       287.1527       286.0553       285.3283    
 1886   285.1853       285.8315       286.4100       287.4312       288.2213       288.7705       289.0886       289.2280       288.5016       287.3606       286.2396       285.5482    
 1887   285.4414       285.6597       286.4158       287.3883       288.2102       288.8241       289.2021       289.1169       288.5530       287.4811       286.3970       285.5826    
