Datetime,NVIDIA,VanEck_Semiconductor_ETF,MACD,Cardano,Invesco_QQQ,Meta,S&P_500,NASDAQ_100,SPDR_Industrials,Dow_Jones,BTC,ARK_NextGen_Internet_ETF,HMA_10,SMA_50,EMA_100,TRON,KAMA_20,MicroStrategy,ETH,Silver,SPDR_Tech,Gold,SPDR_Consumer_Discretionary,Google,TEMA_20,SPDR_Financials,VIX,EUR/USD,Amazon,OBV,Chainlink,Dogecoin,ATR,day
2023-05-13 04:00:00,28.319000720977783,122.80374908447266,57.522010806231265,0.3675187155604362,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26808.232421875,48.4399995803833,26880.075777777773,26840.3546,27255.507300000005,0.0686671379953622,26327.09910397579,27.018499851226807,1807.3435974121096,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26786.13814186948,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.610146641731262,0.0721426773816347,161.3291071234648,13
2023-05-13 05:00:00,28.319000720977783,122.80374908447266,63.404448725934344,0.366775244474411,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26785.61474609375,48.4399995803833,26851.5223030303,26826.2364,27246.442799009907,0.0686286929994821,26372.856216758828,27.018499851226807,1803.1417846679688,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26814.933749948064,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.596942186355591,0.0719685535877943,155.7122600900827,13
2023-05-13 06:00:00,28.319000720977783,122.80374908447266,63.474354731672065,0.3671057671308517,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26751.794921875,48.4399995803833,26812.539,26812.119,27236.434624772086,0.0686218999326229,26394.900851008508,27.018499851226807,1800.3819885253906,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26822.460309919912,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.596306920051575,0.0719254296272993,153.27156386803713,13
2023-05-13 07:00:00,28.319000720977783,122.80374908447266,62.56520724634538,0.366581529378891,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26777.455078125,48.4399995803833,26772.020474747478,26796.8798,27226.437701509272,0.0687546227127313,26418.27450480731,27.018499851226807,1798.8385620117188,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26824.789648037025,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.586474657058716,0.071938743814826,144.5214039112823,13
2023-05-13 08:00:00,28.319000720977783,122.80374908447266,64.197121028541,0.3677678480744362,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26805.88427734375,48.4399995803833,26751.70817171717,26781.7404,27217.436558905127,0.0689161233603954,26445.07795725919,27.018499851226807,1803.197326660156,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26835.787656310527,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.598873496055603,0.072005895897746,140.1967885219281,13
2023-05-13 09:00:00,28.319000720977783,122.80374908447266,66.67934679346945,0.3674462437629699,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26841.6240234375,48.4399995803833,26753.687262626267,26767.6446,27209.165141897105,0.0689382217824459,26469.646689637335,27.018499851226807,1804.765869140625,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26850.6706853593,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.600104331970215,0.0720001924782991,134.15602404337335,13
2023-05-13 10:00:00,28.319000720977783,122.80374908447266,70.92252524270589,0.3670378029346466,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26842.5185546875,48.4399995803833,26778.800282828288,26755.4842,27201.895535126863,0.0689834021031856,26495.750629008104,27.018499851226807,1807.4215698242188,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26872.470567572847,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.595914006233215,0.0720977671444416,128.33709680418096,13
2023-05-13 11:00:00,28.319000720977783,122.80374908447266,73.14440354774342,0.3656592071056366,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26831.8603515625,48.4399995803833,26809.0451919192,26744.2888,27194.544930470885,0.0689631253480911,26539.09661653309,27.018499851226807,1807.39208984375,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26885.96710447967,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.580177187919617,0.0720505341887474,124.98863674482054,13
2023-05-13 12:00:00,28.319000720977783,122.80374908447266,71.85993020641763,0.3650130555033684,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26840.69140625,48.4399995803833,26832.039131313137,26732.4182,27187.20621897641,0.0690117366611957,26574.381657447124,27.018499851226807,1804.5646057128904,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26893.82842002759,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.5665096044540405,0.0719482824206352,119.44120663144524,13
2023-05-13 13:00:00,28.319000720977783,122.80374908447266,70.9445601503212,0.3650185391306877,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26842.947265625,48.4399995803833,26842.120787878783,26719.713,27180.025897808562,0.0690682977437973,26610.14980234161,27.018499851226807,1804.3888549804688,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26899.005301806992,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.566185832023621,0.0718322414904832,119.11503532726596,13
2023-05-13 14:00:00,28.319000720977783,122.80374908447266,69.92823089524973,0.3648323863744735,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26812.046875,48.4399995803833,26841.732585858583,26708.0284,27172.923998842056,0.0694133881479501,26639.27616265346,27.018499851226807,1802.6276245117188,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26901.008280365077,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.544776201248169,0.071672223508358,116.55426337510885,13
2023-05-13 15:00:00,28.319000720977783,122.80374908447266,65.4832067678326,0.363786406815052,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26821.2734375,48.4399995803833,26827.59801010101,26695.8308,27165.323919657065,0.0693120658397674,26657.392514772142,27.018499851226807,1796.3658752441406,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26892.926653440216,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.524951100349426,0.0715733170509338,113.54051274591431,13
2023-05-13 16:00:00,28.319000720977783,122.80374908447266,63.66718443987702,0.363893061876297,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26831.74853515625,48.4399995803833,26816.09768686869,26688.0236,27158.41156481237,0.0691863540560007,26671.7792960077,27.018499851226807,1796.1741943359375,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26892.074043005912,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.528430700302124,0.0715973135083913,109.14014970107422,13
2023-05-13 17:00:00,28.319000720977783,122.80374908447266,62.00586890441991,0.3641225472092628,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26831.0078125,48.4399995803833,26811.468262626266,26682.055800000002,27151.765791251728,0.0692495461553335,26687.58516587429,27.018499851226807,1795.133331298828,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26891.88528829209,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.531553268432617,0.0717589687556028,104.20852867198708,13
2023-05-13 18:00:00,28.319000720977783,122.80374908447266,58.8507693734573,0.3639216870069504,324.83375549316406,233.57250213623047,4120.947509765625,13330.62890625,98.39250183105467,33279.345703125,26855.54345703125,48.4399995803833,26810.70205050505,26674.713799999998,27145.04409241506,0.069246832281351,26689.62125803326,27.018499851226807,1794.931610107422,24.133749961853027,150.8300018310547,2015.8250122070312,147.7925033569336,117.53499984741212,26887.883229420266,31.867499828338623,17.072500228881836,1.0851871967315674,110.15250205993652,1508866048.0,6.521818161010742,0.0717848110944032,99.68680634061478,13
