iter	RMSE
0	2178.816469
1	2116.744501
2	2056.796122
3	1998.898119
4	1942.713559
5	1889.1725
6	1835.023847
7	1783.910267
8	1733.246794
9	1685.191593
10	1637.569617
11	1592.920903
12	1548.169115
13	1505.410078
14	1463.108895
15	1423.175002
16	1384.381578
17	1345.743786
18	1307.890771
19	1271.797358
20	1236.926755
21	1202.999881
22	1170.554699
23	1139.251356
24	1108.289598
25	1078.415665
26	1048.504849
27	1020.038025
28	992.0923639
29	964.5074117
30	938.1082831
31	912.398876
32	888.1177646
33	863.7699238
34	840.412259
35	817.9826489
36	795.9836078
37	774.1952001
38	753.5582624
39	733.5596683
40	714.3767314
41	695.0801943
42	676.6344739
43	658.9169032
44	641.7496257
45	624.9774295
46	608.5581144
47	592.657691
48	577.1922889
49	562.3970256
50	547.5257239
51	533.5058621
52	519.9245269
53	506.6579511
54	493.6781967
55	481.636823
56	469.5808121
57	457.5705523
58	446.3925267
59	435.3228045
60	424.4362062
61	414.126135
62	404.0411095
63	394.7302808
64	385.4749299
65	376.459239
66	367.5363451
67	358.8243911
68	350.6766976
69	342.9307238
70	335.0520795
71	327.2578741
72	319.9227773
73	312.8886392
74	306.1361537
75	299.4582898
76	293.1085951
77	286.74075
78	280.6801236
79	274.8618618
80	269.2144003
81	263.6415239
82	258.48041
83	253.2811922
84	248.5733511
85	243.8427014
86	239.2547275
87	234.8033584
88	230.6557651
89	226.484408
90	222.6254227
91	218.6919637
92	215.0313588
93	211.435265
94	208.060873
95	204.7956486
96	201.6859969
97	198.7373293
98	195.8867778
99	193.0715753
100	190.4520548
101	187.9999332
102	185.5431515
103	183.1956362
104	180.8588855
105	178.6632104
106	176.5912439
107	174.5544922
108	172.6614616
109	170.8126542
110	169.0159052
111	167.3008969
112	165.700852
113	164.1734745
114	162.742155
115	161.2556918
116	159.7712925
117	158.4584888
118	157.2234312
119	155.9763407
120	154.7658708
121	153.6217249
122	152.5343832
123	151.5949075
124	150.6507186
125	149.6830695
126	148.8256175
127	147.9301778
128	147.0660907
129	146.2845085
130	145.5599835
131	144.8775941
132	144.2328849
133	143.5326593
134	142.9157376
135	142.31735
136	141.6776652
137	141.1387067
138	140.5930729
139	140.1061479
140	139.6208222
141	139.1922625
142	138.7423255
143	138.3184707
144	137.9571428
145	137.5283682
146	137.1228364
147	136.7448781
148	136.3681451
149	136.0623306
150	135.6860474
151	135.3565772
152	135.0347067
153	134.7539077
154	134.4653906
155	134.1593629
156	133.9005954
157	133.6322262
158	133.3927872
159	133.1256988
160	132.874432
161	132.6697046
162	132.4397657
163	132.2445307
164	131.9825196
165	131.7453818
166	131.5682781
167	131.3756036
168	131.1883685
169	131.0175453
170	130.8478039
171	130.6607759
172	130.5013241
173	130.3585449
174	130.2046441
175	130.0164511
176	129.8404685
177	129.7196836
178	129.5836774
179	129.4417397
180	129.2915775
181	129.1446375
182	129.0069093
183	128.8711467
184	128.7655034
185	128.649288
186	128.5088212
187	128.4118089
188	128.2532669
189	128.1097954
190	127.9765091
191	127.8871846
192	127.7437654
193	127.6473466
194	127.536851
195	127.4533065
196	127.3501076
197	127.2129215
198	127.0901352
199	126.9516336
200	126.832672
201	126.6922839
202	126.6015351
203	126.5223915
204	126.4236306
205	126.3238912
206	126.2232392
207	126.1251339
208	126.0118706
209	125.9171222
210	125.8078093
211	125.6765901
212	125.6087893
213	125.5322649
214	125.4682974
215	125.349325
216	125.2700764
217	125.1952749
218	125.0978312
219	125.0215725
220	124.939966
221	124.8771687
222	124.7871377
223	124.7227284
224	124.6448413
225	124.5493398
226	124.4904284
227	124.4271363
228	124.3431503
229	124.2733001
230	124.2057572
231	124.1146952
232	124.0541235
233	123.9657553
234	123.8895023
235	123.824614
236	123.6988582
237	123.6104729
238	123.5407792
239	123.4744705
240	123.4233778
241	123.3505662
242	123.2900697
243	123.2108098
244	123.1166327
245	123.053894
246	122.9684162
247	122.9045934
248	122.8442528
249	122.8099543
250	122.7378729
251	122.6852634
252	122.5956431
253	122.5166401
254	122.4571293
255	122.3823683
256	122.3195689
257	122.2563379
258	122.1850459
259	122.1348459
260	122.0750519
261	121.9933815
262	121.9334756
263	121.8594085
264	121.7960192
265	121.7099075
266	121.6289801
267	121.578072
268	121.4799543
269	121.4300744
270	121.3431978
271	121.2447325
272	121.1892291
273	121.1161397
274	121.0586461
275	120.9769053
276	120.9254687
277	120.8741823
278	120.8120347
279	120.7624661
280	120.7107927
281	120.6388579
282	120.5787937
283	120.5275856
284	120.4618679
285	120.4017409
286	120.3266766
287	120.2715141
288	120.2303701
289	120.1684798
290	120.1016291
291	120.0431246
292	119.9773394
293	119.9273788
294	119.875516
295	119.7918801
296	119.7447813
297	119.6963092
298	119.6247127
299	119.5880163
300	119.518965
301	119.451324
302	119.3880842
303	119.3306438
304	119.2855703
305	119.2013573
306	119.1510465
307	119.0873213
308	119.044944
309	118.991525
310	118.9438971
311	118.8966533
312	118.8263707
313	118.7591595
314	118.7003808
315	118.65483
316	118.6090443
317	118.5303596
318	118.4678704
319	118.3972863
